Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money
#org+id+reporting,#org+name+reporting,#org+reporting+type,#org+id+provider,#org+name+provider,#org+type+provider,#org+id+receiver,#org+name+receiver,#org+type+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_direction,#value+total
fr-3,AFD,10,,,,,Alliance for Int Med Action,,0,0,outgoing,2323700
fr-3,AFD,10,,,,,REPUBLIQUE DE COTE D'IVOIRE,,0,1,outgoing,7447733
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development,10,,,,,AICS,10,0,0,outgoing,16492
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development,10,,,,,AICS,10,0,1,outgoing,1396361
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development,10,,,,,AICS - Sede Italia (Roma),10,0,0,outgoing,811846
us-ein-11-3803281,African Center for Economic Transformation,80,,,,,(Direct expenditure),,0,0,outgoing,551429
african development bank,African Development Bank,40,,,,,(Unspecified org),,0,1,outgoing,1687451
african development bank,African Development Bank,40,,,,,Financial Systems GmBH (LFS),10,0,0,outgoing,459311
african development bank,African Development Bank,40,,,,,The World Health Organization,10,0,1,outgoing,933602
46002,African Development Bank Group,40,,,,,(Unspecified org),,0,1,outgoing,22260650
46002,African Development Bank Group,40,,,,,African Union Commission (AUC),,0,1,outgoing,1377711
46002,African Development Bank Group,40,,,,,GOUVERNEMENT DE GUINEE (REGIONAL),,0,1,outgoing,2101934
46002,African Development Bank Group,40,,,,,GOUVERNEMENT DE GUINEE MULTINATIONAL,,0,1,outgoing,29693275
46002,African Development Bank Group,40,,,,,GOVERNMENT OF LIBERIA (REGIONAL),10,0,1,outgoing,1943778
46002,African Development Bank Group,40,,,,,GOVERNMENT OF LIBERIA MINISTRY OF FINANCE,10,0,1,outgoing,55591860
46002,African Development Bank Group,40,,,,,GOVERNMENT OF SIERRA LEONE (REGIONAL),10,0,1,outgoing,1599904
46002,African Development Bank Group,40,,,,,GOVERNMENT OF SIERRA LEONE(MULTINATIONAL MINISTRY OF FINANCE,10,0,1,outgoing,46354249
46002,African Development Bank Group,40,,,,,Mano River Union,,0,1,outgoing,534442
46002,African Development Bank Group,40,,,,,Mano River Union (MRU) Secretariat,,0,1,outgoing,1068215
46002,African Development Bank Group,40,,,,,"Ministère de l#Economie, des Finances et du Développement (MINEFID)",10,0,0,outgoing,55482527
46002,African Development Bank Group,40,,,,,Ministère de l'Énergie,10,0,0,outgoing,17395328
46002,African Development Bank Group,40,,,,,Organisation mondiale de la santé (OMS),,0,1,outgoing,37895077
46002,African Development Bank Group,40,,,,,Sierra Leone Roads Authority,,0,0,outgoing,6365735
46002,African Development Bank Group,40,,,,xm-dac-928,World Health Organization,40,0,0,outgoing,2989928
46002,African Development Bank Group,40,,,,xm-dac-928,World Health Organization,40,0,1,outgoing,2968588
gb-chc-1128267-8,Age International UK (HelpAge International UK),21,,,,gb-chc-1127488,Distributed to Restless Development,21,1,1,outgoing,104965
gb-chc-1128267-8,Age International UK (HelpAge International UK),21,,,,gb-coh-1762840,HelpAge International,21,1,1,outgoing,1058000
gb-chc-1128267-8,Age International UK (HelpAge International UK),21,gb-chc-1062638,Disasters Emergency Committee,22,,,,1,1,incoming,1107505
us-501c3-522318905,AidData,21,,,,,(Unspecified org),,0,1,outgoing,1386393
au-5,Australian Aid,10,,,,,Name Withheld,,0,0,outgoing,20866410
au-5,Australian Aid,10,,,,,Name Withheld,,0,1,outgoing,26631560
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"ALIMA USA, Inc.",,0,1,outgoing,500000
dac-1601,Bill and Melinda Gates Foundation,60,,,,,American Society of Tropical Medicine and Hygiene,,0,1,outgoing,115000
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Broad Institute, Inc.",,0,1,outgoing,850055
dac-1601,Bill and Melinda Gates Foundation,60,,,,,CDC Foundation,,0,1,outgoing,5094611
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Center for Biologics Evaluation and Research, FDA",,0,1,outgoing,69950
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Cepheid,,0,1,outgoing,1535451
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Ceres Nanosciences, Inc",,0,1,outgoing,376395
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Clinical Research Management, Inc.",,0,1,outgoing,12024263
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Corgenix Medical Corporation,,0,1,outgoing,568182
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Fio Corporation,,0,1,outgoing,736048
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Foundation for the National Institutes of Health (FNIH),,0,1,outgoing,484709
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Fred Hutchinson Cancer Research Center,,0,1,outgoing,88038
dac-1601,Bill and Melinda Gates Foundation,60,,,,chy6271,GOAL,21,0,1,outgoing,938334
dac-1601,Bill and Melinda Gates Foundation,60,,,,,GlaxoSmithKline Biologicals,,0,1,outgoing,1281469
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Institute of Medicine,,0,1,outgoing,750000
dac-1601,Bill and Melinda Gates Foundation,60,,,,xm-dac-21018,International Federation of Red Cross and Red Crescent Societies,90,0,1,outgoing,3000000
dac-1601,Bill and Melinda Gates Foundation,60,,,,us-ein-95-3949646,International Medical Corps,21,0,1,outgoing,2200000
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Jhpiego Corporation,,0,1,outgoing,40000
dac-1601,Bill and Melinda Gates Foundation,60,,,,gb-edu-133903,London School of Hygiene and Tropical Medicine,,0,1,outgoing,156687
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Mapp Biopharmaceutical, Inc.",,0,1,outgoing,1067169
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Ministry of Health and Public Hygiene, Mali",,1,1,outgoing,95054
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Ministry of Health and Social Action Senegal,,0,1,outgoing,1804072
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"Ministry of Health, Liberia",,0,1,outgoing,1595556
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Novartis Pharma AG,,0,1,outgoing,659154
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Oxfam-America Inc,,0,1,outgoing,900741
dac-1601,Bill and Melinda Gates Foundation,60,,,,us-ein-91-1157127,PATH,21,0,1,outgoing,100000
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Princeton University,,0,1,outgoing,230000
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Rockefeller University,,0,1,outgoing,89768
dac-1601,Bill and Melinda Gates Foundation,60,,,,,Tony Blair Africa Governance Initiative,,0,1,outgoing,991960
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"United Nations Office for Project Services, Geneva",,0,1,outgoing,124763
dac-1601,Bill and Melinda Gates Foundation,60,,,,,United States Fund for UNICEF,30,0,1,outgoing,5900000
dac-1601,Bill and Melinda Gates Foundation,60,,,,,"University of California, Los Angeles",,0,0,outgoing,1260822
dac-1601,Bill and Melinda Gates Foundation,60,,,,,University of Nebraska Medical Center,,0,1,outgoing,356562
dac-1601,Bill and Melinda Gates Foundation,60,,,,xm-dac-928,World Health Organization,40,0,1,outgoing,14070234
dac-1601,Bill and Melinda Gates Foundation,60,,,,,World Health Organization Nigeria Country Office,,0,1,outgoing,1183574
gb-chc-220949,British Red Cross,21,,,,dk-cvr-20700211,Danish Red Cross,,0,0,outgoing,781513
gb-chc-220949,British Red Cross,21,,,,xm-dac-21018,International Federation of Red Cross and Red Crescent Societies,90,1,1,outgoing,2053084
gb-chc-285776,CAFOD,21,,,,,Caritas DR Congo Bukavu Diocese,23,0,1,outgoing,126871
gb-chc-285776,CAFOD,21,,,,,Caritas DR Congo Goma Diocese,23,0,1,outgoing,145559
gb-chc-285776,CAFOD,21,,,,,Catholic Caritas Foundation of Nigeria,22,0,0,outgoing,80650
gb-chc-285776,CAFOD,21,,,,,Centre Olame,,0,1,outgoing,138213
gb-chc-285776,CAFOD,21,,,,,Commission Episcopale Justice et Paix,22,0,0,outgoing,30210
gb-chc-285776,CAFOD,21,,,,,Organisation Catholique pour la Promotion Humaine/Caritas Guinée,23,0,0,outgoing,41421
gb-chc-285776,CAFOD,21,,CAFOD General Funds,,,,,0,0,incoming,252559
gb-chc-285776,CAFOD,21,,CAFOD General Funds,,,,,0,1,incoming,422290
gb-chc-292506,CARE International UK,21,,,,;,CARE National Office,22,1,0,outgoing,246928
gb-chc-292506,CARE International UK,21,gb-coh-213890,Save The Children UK,21,,,,1,0,incoming,263812
gb-chc-326568,Charity Projects Ltd (Comic Relief),60,,,,gb-chc-1081769,Transform Africa,,0,0,outgoing,565840
gb-chc-1105851,Christian Aid,21,,,,,(Direct expenditure),,1,1,outgoing,5673756
gb-chc-1105851,Christian Aid,21,,,,,Collective Initiative for Development Sierra Leone,22,1,0,outgoing,32562
gb-chc-1105851,Christian Aid,21,,,,,Collective Initiative for Development Sierra Leone,22,1,1,outgoing,176837
gb-chc-1105851,Christian Aid,21,,,,,Communauté Baptiste au Centre de l'Afrique,22,1,1,outgoing,153774
gb-chc-1105851,Christian Aid,21,,,,,Community Action for Welfare of Children,22,1,1,outgoing,127440
gb-chc-1105851,Christian Aid,21,,,,,Methodist Church Sierra Leone,22,1,0,outgoing,9865
gb-chc-1105851,Christian Aid,21,,,,,Methodist Church Sierra Leone,22,1,1,outgoing,59827
gb-chc-1105851,Christian Aid,21,,,,,Network Movement for Justice and Development (NMJD),22,1,0,outgoing,57247
